track_id,track_name,artists,album,release_year,duration_ms,mood,Jiya,Shubham1,shubham
7GVUmCP00eSsqc4tzj1sDD,Come and Get Your Love - Single Version,Redbone,Come and Get Your Love,1973,205933,happy,0,-1,0
2RlgNHKcydI9sayD2Df2xp,Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,1977,303373,sad,0,0,0
7kv7zBjMtVf0eIJle2VZxn,Southern Nights,Glen Campbell,Southern Nights,1977,180026,happy,0,0,0
75GQIYnRaBg7ndHxhfYuQy,Go All The Way,Raspberries,Raspberries,1972,205346,happy,0,0,0
252YuUdUaC5OojaBU0H1CP,Come A Little Bit Closer,Jay & The Americans,Come A Little Bit Closer: The Best Of Jay & The Americans,1964,166666,happy,0,0,0
1OtWwtGFPXVhdAVKZHwrNF,Suspicious Minds,Elvis Presley,Back In Memphis,1969,263973,calm,0,0,0
0D1pEisM3QkiacGXJe5dmd,(You're The) Devil in Disguise,Elvis Presley,Elvis 30 #1 Hits,2002,140426,happy,0,0,0
4zzXm1QJQXWLyUfFhWZBRg,Don't Be Cruel,Elvis Presley,Elvis 30 #1 Hits,2002,122866,happy,0,0,0
5LN9F6c1Okx7Yrwd6GO8tu,I Want You Back,The Jackson 5,The Ultimate Collection: Jackson 5,1996,179960,happy,0,0,0
3G7tRC24Uh09Hmp1KZ7LQ2,I'm a Believer - 2006 Remaster,The Monkees,More of The Monkees (Deluxe Edition),1967,167373,happy,0,0,0
7xQMKG2omICY6LEAmJIfwk,All Day And All Of The Night,The Kinks,The Anthology 1964 - 1971,2014,142480,happy,0,0,0
4l2hnfUx0esSbITQa7iJt0,A Little Less Conversation - JXL Radio Edit Remix,"Elvis Presley, JXL",Elvis 75 - Good Rockin' Tonight,2009,211173,happy,0,0,0
1AY2BAQptLHcaoiptJZskX,ABC,The Jackson 5,Anthology: Jackson 5,1993,177426,happy,0,0,0
300RfAPZ57B0y6YYj9n6DN,Superstition - Single Version,Stevie Wonder,Number Ones,2007,244826,happy,0,0,0
2yNWwardt8VzlpNBWrGYD6,For Once In My Life,Stevie Wonder,For Once In My Life,1968,170600,calm,0,0,0
2udw7RDkldLFIPG9WYdVtT,Sir Duke,Stevie Wonder,Songs In The Key Of Life (Reissue),1976,232760,happy,0,0,0
0Y2SrByf4G3kbq2nBEHQRn,Spirit in the Sky,Norman Greenbaum,Music From The Motion Picture Michael,1996,239600,happy,0,0,0
5IMtdHjJ1OtkxbGe4zfUxQ,Escape (The Pina Colada Song),Rupert Holmes,Partners In Crime,1979,276493,happy,0,0,0
3qrEG6rQ9Qm72MNWeUKKiU,Wham Bam Shang-A-Lang,Silver,Silver,1976,212840,happy,0,0,0
7Dm3dV3WPNdTgxoNY7YFnc,The Chain - 2004 Remaster,Fleetwood Mac,Rumours,1977,269813,happy,0,0,0
2TSd55BFGI75LVW00mm3c2,Magic - 2003 Remaster,Pilot,"A's, B's And Rarities",2004,186733,happy,0,0,0
18RfnQPWVNmROX7jCRcVZI,"Fox On The Run - from ""The Guardians Of The Galaxy Vol 2"" Trailer",Sweet,Hits,2014,212040,energetic,0,0,0
2BY7ALEWdloFHgQZG6VMLA,Brandy (You're a Fine Girl),Looking Glass,Looking Glass,1972,186826,happy,0,0,0
2ccUQnjjNWT0rsNnsBpsCA,Surrender,Cheap Trick,Heaven Tonight,1978,253733,happy,0,0,0
6Ac4NVYYl2U73QiTt11ZKd,Hooked On A Feeling,"Blue Swede, Björn Skifs",Hooked On A Feeling,1973,172866,happy,0,0,0
6UjXIbGPNXXi8bcQN2YQGQ,Thinking Out Loud,Jack Bugg,Guardians Of The Galaxy - Hooked On A Feeling,2017,264833,sad,0,0,0
2dlEdDEmuQsrcXaAL3Znzi,You Make My Dreams (Come True),Daryl Hall & John Oates,The Essential Daryl Hall & John Oates,2005,190706,happy,0,0,0
44hOGg1uFg1XJZGZYNwYmM,Tainted Love,Soft Cell,The Singles,1986,162506,calm,0,0,0
6xE6ZWzK1YDDSYzqOCoQlz,Last Train to London,Electric Light Orchestra,Discovery,1979,270066,happy,0,0,0
2oRn0QuaWQ1hragGQ7XZ9s,Devil Woman,Cliff Richard,40 Golden Greats,1977,214575,happy,0,0,0
0SfcfK8IKOzTmCLeyUFZLy,Baby Come Back,Player,Hits of the 70's,1993,214360,happy,0,0,0
0hSAR39xfxXXs2LmwjTWUI,"Can't Get Enough Of Your Love, Babe",Barry White,Can't Get Enough,1974,273999,happy,0,0,0
3Qs6vSgTIYxoysU89GKJvY,Evil Woman,Electric Light Orchestra,All Over The World: The Very Best Of ELO,2005,251680,happy,0,0,0
4aVuWgvD0X63hcOCnZtNFA,Hold the Line,TOTO,Toto,1978,235546,happy,0,0,0
2FSaEOwQId0LYu5o49dbrG,All By Myself,Eric Carmen,Eric Carmen,1975,435213,sad,0,0,0
0KMGxYKeUzK9wc5DZCt3HT,If You Leave Me Now,Chicago,Chicago X,1976,235373,energetic,0,0,0
31HOUWxaaqIedY0fULlGa5,What A Fool Believes,The Doobie Brothers,Rhino Hi-Five: The Doobie Brothers [Vol. 2],2007,222706,calm,0,0,0
66S14BkJDxgkYxLl5DCqOz,I'm Gonna Be (500 Miles),The Proclaimers,Finest,2003,219466,happy,0,0,0
02BDRKIiRLkXrlNPLlpH6K,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,Rocket Man (EA Version),2007,282013,energetic,0,0,0
7IWRBwbiWJ14YZcDHHmjf8,Love Train,The O'Jays,The Best Of The O'Jays: Love Train,1972,178360,happy,0,0,0
6r20M5DWYdIoCDmDViBxuz,You Got It,Roy Orbison,Mystery Girl,1989,210266,happy,0,0,0
4R6LAvOMzkTJcFbSOmmEh9,The Twist,Chubby Checker,Cameo Parkway - The Best Of Chubby Checker (Original Hit Recordings) [International Version],1961,153760,happy,0,0,0
4jDmJ51x1o9NZB5Nxxc7gY,Careless Whisper,George Michael,Ladies And Gentlemen... The Best Of George Michael,1998,300106,happy,0,0,0
2tbdjsdJ9xtyunKnZBkGxF,Father And Son,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered),1970,221000,sad,0,0,0
0EMmVUYs9ZZRHtlADB88uz,Come On Eileen,Dexys Midnight Runners,Too Rye Ay,1982,287306,happy,0,0,0
2hdNya0b6Cc2YJ8IyaQIWp,Livin' Thing,Electric Light Orchestra,A New World Record,1976,212306,energetic,0,0,0
